PLANIFICACIÓN;Horas_Patron;FAMILIA;TAMAÃ‘O
MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;30.0;DH;2u-4u
SISTEMA DE TIERRAS;45.0;DH;2u-4u
SISTEMA DE ILUMINACION/EMERGENCIAS;45.0;DH;2u-4u
CABLEADO Y CONEXIONADO POTENCIA;;DH;2u-4u
INSTALACION DE CABLE;337.0;DH;2u-4u
CONEXIONADO DE EQUIPOS;145.0;DH;2u-4u
ETIQUETADO DE CABLE Y EQUIPOS;35.0;DH;2u-4u
INSTALACION DE MEDIA TENSION;;DH;2u-4u
TRANSFORMADOR;0.0;DH;2u-4u
TRABAJOS DE MEDIA TENSION;0.0;DH;2u-4u
TRABAJOS DE BT EN MT;0.0;DH;2u-4u
PRUEBAS DE MEDIA TENSION;0.0;DH;2u-4u
SISTEMA DE MONITORIZACION;;DH;2u-4u
MONTAJE DE EQUIPOS DE MONITORIZACION;12.0;DH;2u-4u
INSTALACION DE SENALES;50.0;DH;2u-4u
INSTALACION DE UTP;15.0;DH;2u-4u
R-QP05-16 Acceptance of Installations. Monitoring;1.0;DH;2u-4u
CONTROL DE ACCESO;17.0;DH;2u-4u
PRUEBAS ELECTRICAS PRODUCCION;;DH;2u-4u
RECOLECCION DE NUMEROS DE SERIE;;DH;2u-4u
PRUEBAS ELECTRICAS SIN TENSION;7.0;DH;2u-4u
TORQUEO;25.0;DH;2u-4u
R-QP05-11 Acceptance of Installations. Electrical;3.0;DH;2u-4u
R-QP05-40 Acceptance of Torque;3.0;DH;2u-4u
R-QP07-08 BCF Factory Power Energization Authorization;3.0;DH;2u-4u
PRUEBAS ELECTRICAS CON TENSION ;15.0;DH;2u-4u
SOPORTE A COMMISSIONING;7.0;DH;2u-4u
TRABAJOS DE INSTALACION PCI;4.0;DH;2u-4u
REALIZACION DE PRUEBAS PCI;8.0;DH;2u-4u
R-QP05-27 Door Fan Test;1.0;DH;2u-4u
R-QP05-04 Acceptance of Installations. FSS;1.0;DH;2u-4u
R-QP05-18 Acceptance of Installations. Assembly;3.0;DH;2u-4u
MONTAJE DE TUBERIAS;40.0;DH;2u-4u
TRABAJOS DE CONEXIONADO Y VALVULERIA;17.0;DH;2u-4u
TRABAJOS DE FORRADO DE TUBERIAS;10.0;DH;2u-4u
REALIZACION DE PRUEBAS COOLING;13.0;DH;2u-4u
R-QP05-05 Acceptance of Installations. Cooling;1.0;DH;2u-4u
TRASLADO Y UBICACION EN ZONA CX;8.0;DH;2u-4u
TESTEO Cx;45.0;DH;2u-4u
UPS START UP;;DH;2u-4u
FAT/FOK/Witness test;;DH;2u-4u
TRASLADO Y UBICACION EN ZONA PRODUCCION.;8.0;DH;2u-4u
MODIFICACIONES FAT/FOK/WITNESS TEST ;30.0;DH;2u-4u
R-QP05-03 QC 100% MDC;1.0;DH;2u-4u
DESENSAMBLAJE INSTALACION ELECTRICA;28.0;DH;2u-4u
DESENSAMBLAJE INSTALACION MECANICA;0.0;DH;2u-4u
LIMPIEZA FINAL CUADROS;15.0;DH;2u-4u
R-QP05-29 Outgoing electrical panel visual inspection;2.0;DH;2u-4u
CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;18.0;DH;2u-4u
CIERRE DE CUADROS Y PENDIENTES MECANICOS;80.0;DH;2u-4u
LIMPIEZA FINAL;20.0;DH;2u-4u
REPASOS DE PINTURA;10.0;DH;2u-4u
R-QP05-02 Pre Shipment Inspection MDC;2.0;DH;2u-4u
